project_type,department,state,district,approved_budget,amount_claimed,amount_released,work_completion_percent,expected_completion_days,actual_days_since_start,delay_ratio,invoice_count,average_invoice_amount,largest_invoice_amount,payment_frequency_per_month,same_vendor_invoice_count,inspection_status,last_inspection_days_ago,geo_tagged_proof_submitted,proof_document_count,complaints_count,contractor_previous_projects,contractor_avg_delay_days,contractor_avg_budget_overrun,contractor_blacklist_flag,approved_work_quantity,claimed_work_quantity,verified_work_quantity,quantity_mismatch_ratio,budget_claim_ratio,fraud_score,fraud_label
Road Construction,Public Works Department,Gujarat,Ahmedabad,42215879.91,36963820.81,30715309.73,97.2,734,415,0.5654,41,901556.61,3929098.71,1.51,9,Completed,206,0,10,9,84,31.9,0.07,0,4835.86,4872.56,4224.74,0.134,0.8756,0.1052,0
Road Construction,Public Works Department,Rajasthan,Jodhpur,83225970.42,21003594.29,19348554.58,43.91,825,544,0.6594,30,700119.81,2492958.83,5.35,14,Completed,150,1,15,10,56,27.42,0.02,0,32156.26,32721.7,33307.91,-0.0182,0.2524,0.0554,0
School Building,Education Department,Maharashtra,Nashik,47628201.1,9306633.42,8322976.9,67.36,855,512,0.5988,7,1329519.06,3325089.72,3.19,1,Completed,63,1,74,6,17,37.71,0.07,0,12100.89,12458.13,10795.69,0.1374,0.1954,0.0346,0
Road Construction,Public Works Department,Uttar Pradesh,Kanpur,80904692.98,27380184.22,25366296.3,65.05,883,411,0.4655,35,782290.98,3227987.75,0.71,6,Completed,255,1,42,8,32,4.13,0.01,0,75068.63,74229.68,73730.48,0.0066,0.3384,0.0076,0
Bridge Construction,Public Works Department,Andhra Pradesh,Visakhapatnam,19252570.59,7222785.42,5239722.47,83.26,298,72,0.2416,14,515913.24,2037127.4,0.63,5,Completed,288,1,30,10,63,3.47,0.11,0,50936.19,50412.14,52505.74,-0.0411,0.3752,0.0,0
Welfare Distribution,Social Welfare Department,Telangana,Hyderabad,2554634.55,2327221.95,1602763.76,56.99,631,1016,1.6101,69,33727.85,69496.72,2.71,36,Failed,276,0,8,57,68,46.27,0.64,1,196797.33,245272.71,79590.46,0.8419,0.911,0.7636,1
Electricity Infrastructure,Energy Department,Andhra Pradesh,Guntur,3775470.74,1307840.55,993129.72,35.67,311,130,0.418,22,59447.3,267038.47,1.14,11,Completed,311,0,6,8,84,29.93,0.21,0,37281.05,35115.52,33874.28,0.0333,0.3464,0.1604,0
Drainage System,Municipal Administration,Andhra Pradesh,Nellore,90306012.95,77701911.01,72515121.55,52.84,814,696,0.855,18,4316772.83,24257625.22,2.35,6,Failed,229,1,29,2,35,31.68,0.09,0,128349.24,141734.67,124079.22,0.1376,0.8604,0.1966,0
Road Construction,Public Works Department,Uttar Pradesh,Varanasi,41545767.53,38107951.57,31003060.49,23.44,292,527,1.8048,29,1314067.3,5327026.81,4.44,110,Pending,362,0,8,41,29,56.41,0.19,0,161271.96,234832.03,108111.75,0.7858,0.9173,0.6869,1
Bridge Construction,Public Works Department,Kerala,Thrissur,6660033.63,6255923.12,5552785.83,85.92,918,796,0.8671,11,568720.28,1512137.21,3.63,7,Completed,259,1,42,4,51,8.61,0.02,0,214299.7,199747.13,194283.99,0.0255,0.9393,0.0647,0
Water Pipeline,Water Resources Department,Maharashtra,Mumbai,78791647.32,68426332.22,48001772.12,60.91,117,78,0.6667,26,2631782.01,8528157.4,2.08,10,Completed,198,1,42,2,5,14.71,0.17,0,17862.68,18245.05,18318.89,-0.0041,0.8684,0.087,0
Drainage System,Municipal Administration,Gujarat,Ahmedabad,7858997.96,2718462.78,2276134.22,84.73,428,350,0.8178,16,169903.92,828523.65,3.28,0,Completed,291,1,30,5,9,34.54,0.05,0,44400.4,43125.46,37673.85,0.1228,0.3459,0.0576,0
Hospital Development,Health Department,Kerala,Thrissur,49103818.34,20094483.58,19385901.59,44.35,447,189,0.4228,44,456692.81,2141561.02,1.97,8,Completed,231,1,68,11,53,11.14,0.1,0,89588.2,82724.31,76982.54,0.0641,0.4092,0.0518,0
Water Pipeline,Water Resources Department,Karnataka,Mysuru,43570422.1,17588325.81,17253559.21,95.65,999,870,0.8709,50,351766.52,1820326.07,5.48,15,Completed,254,1,18,9,77,7.19,0.18,0,76093.96,79387.77,69910.65,0.1245,0.4037,0.0629,0
Road Construction,Public Works Department,Rajasthan,Udaipur,51224577.94,55438845.32,46035637.86,35.15,1010,1076,1.0653,175,316793.4,1886749.81,1.65,76,Pending,203,0,2,18,93,53.15,0.18,1,194175.36,287892.96,72133.75,1.1112,1.0823,0.7732,1
Electricity Infrastructure,Energy Department,Uttar Pradesh,Prayagraj,66403260.12,23554860.91,18369586.48,84.23,588,298,0.5068,33,713783.66,2964741.97,5.41,9,Pending,217,1,26,7,76,13.0,0.08,0,248251.02,224932.88,212714.93,0.0492,0.3547,0.0996,0
Bridge Construction,Public Works Department,Madhya Pradesh,Gwalior,18068534.1,17902876.75,9006173.11,32.79,903,874,0.9679,58,308670.29,830874.96,0.9,34,Pending,92,0,5,74,55,100.93,0.38,0,166871.05,231214.67,113366.71,0.7062,0.9908,0.5704,0
Drainage System,Municipal Administration,Gujarat,Vadodara,16949746.98,14284269.26,11797342.81,59.53,700,714,1.02,38,375901.82,1712300.13,5.05,6,Completed,9,1,55,7,53,23.98,0.04,0,156971.23,160794.87,147365.74,0.0856,0.8427,0.1415,0
Road Construction,Public Works Department,Telangana,Warangal,66181884.37,56617167.43,33869543.86,47.4,655,981,1.4977,82,690453.26,2970093.2,4.29,103,Completed,256,1,9,43,92,121.01,0.49,1,126170.79,206087.5,83264.64,0.9735,0.8555,0.6075,1
Drainage System,Municipal Administration,Telangana,Warangal,7441772.15,7295251.77,5265145.01,61.28,936,827,0.8835,44,165801.18,994285.73,2.41,13,Completed,117,1,54,1,24,10.33,0.19,0,13663.92,14054.01,12113.2,0.142,0.9803,0.1476,0
Bridge Construction,Public Works Department,Uttar Pradesh,Lucknow,50556662.16,50259340.66,36692495.47,87.84,946,444,0.4693,18,2792185.59,11393551.02,4.88,13,Pending,324,1,43,12,82,41.82,0.11,0,60893.62,68029.88,57562.06,0.1719,0.9941,0.1541,0
Drainage System,Municipal Administration,Uttar Pradesh,Varanasi,26751232.84,22791148.69,18102581.11,65.64,753,195,0.259,49,465125.48,2622041.23,5.6,8,Completed,340,1,45,1,52,40.32,0.21,0,58841.71,59278.19,56836.08,0.0415,0.852,0.0579,0
Water Pipeline,Water Resources Department,Telangana,Karimnagar,37101521.06,54330102.13,45897539.84,24.08,510,633,1.2412,136,399486.05,876542.25,1.24,109,Pending,33,0,6,30,50,191.41,0.69,1,107190.2,163439.17,46077.88,1.0949,1.4644,0.9518,1
Hospital Development,Health Department,Karnataka,Hubballi,87731593.2,77149708.47,60010910.1,30.91,583,483,0.8285,136,567277.27,2516600.45,0.54,94,Pending,187,0,8,80,55,126.62,0.28,1,96447.89,135991.15,67004.4,0.7153,0.8794,0.7486,1
School Building,Education Department,Maharashtra,Nashik,40064444.18,58804577.54,33533867.97,49.61,620,847,1.3661,64,918821.52,4866156.54,6.26,94,Pending,160,0,7,50,3,136.2,0.81,1,59797.19,69253.34,37283.6,0.5346,1.4677,0.7989,1
Welfare Distribution,Social Welfare Department,Tamil Nadu,Madurai,79378475.24,57843329.63,56576446.96,36.09,666,141,0.2117,6,9640554.94,37170980.54,8.9,18,Completed,12,1,31,12,4,33.51,0.15,0,179460.46,180615.78,172497.19,0.0452,0.7287,0.153,0
Water Pipeline,Water Resources Department,Andhra Pradesh,Guntur,53339747.9,49845281.46,48346240.93,68.82,1038,520,0.501,37,1347169.77,6888028.6,8.83,9,Completed,328,1,40,4,57,20.82,0.1,0,81196.98,79346.73,79523.0,-0.0022,0.9345,0.0808,0
Water Pipeline,Water Resources Department,Uttar Pradesh,Agra,51122192.42,18192231.73,12822719.47,71.38,638,290,0.4545,45,404271.82,1261793.45,5.95,3,Completed,194,0,7,2,15,28.1,0.19,0,184352.92,204750.62,184244.92,0.1112,0.3559,0.087,0
Welfare Distribution,Social Welfare Department,Uttar Pradesh,Prayagraj,78640295.93,20911124.21,15872075.49,77.88,777,503,0.6474,55,380202.26,1040484.14,1.23,1,Pending,222,1,59,7,38,26.41,0.19,0,204413.62,184224.78,174351.64,0.0483,0.2659,0.0955,0
Electricity Infrastructure,Energy Department,Andhra Pradesh,Guntur,25214771.85,22975158.3,19950997.4,45.61,283,149,0.5265,38,604609.43,2504505.07,7.61,18,Completed,211,1,19,6,95,21.68,0.09,0,193672.5,184639.52,187902.21,-0.0168,0.9112,0.2082,0
Welfare Distribution,Social Welfare Department,Maharashtra,Mumbai,63425573.36,33942039.48,31909547.86,55.22,831,325,0.3911,7,4848862.78,19685535.18,6.17,11,Failed,355,1,40,9,37,16.98,0.17,0,30299.37,33172.61,27335.61,0.1926,0.5351,0.1693,0
Welfare Distribution,Social Welfare Department,Karnataka,Belagavi,66168814.35,14972119.57,12305536.49,81.57,469,423,0.9019,17,880712.92,3270033.23,4.91,16,Completed,106,1,12,3,57,34.88,0.1,0,90352.74,92417.32,87410.36,0.0554,0.2263,0.0215,0
Water Pipeline,Water Resources Department,Karnataka,Belagavi,83616568.84,66502497.28,30204254.5,29.37,746,696,0.933,79,841803.76,5013593.63,4.32,26,Failed,60,0,1,55,2,57.52,0.22,0,6140.14,11492.64,3430.89,1.313,0.7953,0.6115,1
Water Pipeline,Water Resources Department,Rajasthan,Jaipur,94260365.8,102813472.72,94722961.16,6.34,563,561,0.9964,114,901872.57,4979588.63,7.28,32,Failed,14,0,7,44,10,133.38,0.66,1,142812.89,165511.65,103325.48,0.4354,1.0907,0.7877,1
Electricity Infrastructure,Energy Department,Telangana,Warangal,15811460.9,5152568.05,4165971.92,93.71,1057,291,0.2753,3,1717522.68,2796484.17,1.49,14,Failed,75,1,52,11,15,7.09,0.2,0,129286.0,127464.44,130654.18,-0.0247,0.3259,0.1111,0
Drainage System,Municipal Administration,Uttar Pradesh,Prayagraj,19610555.77,15683996.88,13539884.8,41.87,694,368,0.5303,50,313679.94,797109.21,2.32,1,Pending,341,1,57,10,2,39.85,0.04,0,148247.69,160103.58,135818.46,0.1638,0.7998,0.1956,0
Welfare Distribution,Social Welfare Department,Telangana,Hyderabad,8457643.91,5967495.18,4994351.8,57.29,572,528,0.9231,51,117009.71,555339.02,1.08,12,Completed,189,1,18,11,67,20.33,0.21,0,215521.1,198078.37,186027.37,0.0559,0.7056,0.1309,0
Welfare Distribution,Social Welfare Department,Madhya Pradesh,Jabalpur,25521972.08,15650254.09,12205997.77,69.67,460,150,0.3261,11,1422750.37,2634081.79,4.74,2,Completed,273,1,50,1,96,8.15,0.0,0,126029.55,125295.95,111793.32,0.1071,0.6132,0.0783,0
Bridge Construction,Public Works Department,Kerala,Kochi,50434037.65,38073641.23,35849727.27,66.49,363,267,0.7355,51,746541.98,4229168.54,6.89,9,Completed,82,1,33,6,71,33.84,0.01,0,240740.02,242519.21,221682.71,0.0866,0.7549,0.0453,0
Water Pipeline,Water Resources Department,Madhya Pradesh,Gwalior,10045591.19,13373481.36,11395389.93,51.8,748,1234,1.6497,171,78207.49,174589.72,7.04,38,Failed,335,1,34,88,10,143.41,0.82,1,122141.69,192036.33,68997.07,1.0073,1.3313,0.9498,1
Welfare Distribution,Social Welfare Department,Maharashtra,Nashik,25306610.32,17997142.44,13604824.56,96.54,873,303,0.3471,14,1285510.17,2036737.98,4.64,18,Completed,333,1,22,0,59,0.84,0.19,0,64287.7,69977.09,63946.14,0.0938,0.7112,0.0204,0
Housing Scheme,Housing Department,Telangana,Nizamabad,4240936.39,1642352.03,1175969.13,98.63,1021,864,0.8462,12,136862.67,447513.29,3.58,13,Completed,83,1,42,5,24,27.85,0.18,0,216528.54,233440.51,195961.45,0.1731,0.3873,0.1079,0
Hospital Development,Health Department,Karnataka,Hubballi,83951268.44,124439686.91,60169562.14,32.98,295,409,1.3864,108,1152219.32,3223354.78,4.54,59,Pending,184,0,7,24,89,191.8,0.7,1,229429.93,283074.83,144956.63,0.602,1.4823,0.8055,1
Drainage System,Municipal Administration,Andhra Pradesh,Visakhapatnam,59634913.06,58936177.57,32744080.96,33.05,975,1360,1.3949,66,892972.39,2251225.11,5.45,68,Pending,141,1,24,75,77,133.15,0.64,1,203217.0,282987.11,141243.52,0.6975,0.9883,0.7802,1
Water Pipeline,Water Resources Department,Kerala,Kochi,80584188.18,73842434.52,39193278.33,12.95,672,830,1.2351,54,1367452.49,5434143.62,8.72,96,Completed,208,0,3,63,40,38.5,0.16,1,116189.04,189184.63,74882.61,0.9838,0.9163,0.8333,1
Water Pipeline,Water Resources Department,Uttar Pradesh,Varanasi,39984678.31,35781540.51,34592073.52,41.06,637,612,0.9608,50,715630.81,1461229.14,6.99,4,Completed,157,1,54,11,95,3.76,0.09,0,132583.39,130173.49,111873.81,0.138,0.8949,0.2366,0
Road Construction,Public Works Department,Telangana,Warangal,36538306.75,18830237.33,16059649.86,53.11,374,415,1.1096,39,482826.6,2595674.31,6.1,15,Completed,108,1,28,5,27,18.08,0.11,0,208293.9,226195.66,196038.31,0.1448,0.5154,0.0565,0
Drainage System,Municipal Administration,Andhra Pradesh,Visakhapatnam,12804405.11,18368435.13,11306833.79,54.78,76,124,1.6316,66,278309.62,1298236.76,7.68,56,Completed,101,1,23,31,29,141.83,0.3,1,54320.93,98074.12,25960.69,1.3275,1.4345,0.7319,1
Water Pipeline,Water Resources Department,Telangana,Nizamabad,27449585.25,7843548.59,5979246.45,67.84,947,963,1.0169,45,174301.08,800153.39,6.07,7,Completed,95,1,44,5,2,29.14,0.12,0,234872.92,244008.22,243045.76,0.0041,0.2857,0.0947,0
Water Pipeline,Water Resources Department,Madhya Pradesh,Bhopal,82821901.79,43145504.84,39391100.45,74.21,736,862,1.1712,41,1052329.39,3571186.12,2.38,14,Completed,249,1,67,5,66,33.61,0.09,0,186930.91,196121.19,184246.24,0.0635,0.5209,0.1038,0
Road Construction,Public Works Department,Andhra Pradesh,Vijayawada,85487056.52,54367298.95,42411766.53,93.0,649,398,0.6133,18,3020405.5,8256698.39,4.63,1,Completed,180,1,10,4,41,34.9,0.05,0,189728.34,201032.83,163758.43,0.1965,0.636,0.0459,0
Housing Scheme,Housing Department,Andhra Pradesh,Kurnool,83657023.1,86697438.64,55670995.43,37.6,618,1008,1.6311,113,767233.97,2220031.63,8.63,11,Pending,86,0,5,10,73,160.79,0.82,1,21923.63,33563.02,17604.35,0.7279,1.0363,0.7502,1
Water Pipeline,Water Resources Department,Gujarat,Rajkot,11182638.27,7707790.15,6679121.2,74.78,201,108,0.5373,22,350354.1,621002.49,3.78,0,Completed,199,1,24,10,58,12.84,0.18,0,97974.84,98857.92,95102.87,0.0383,0.6893,0.066,0
Road Construction,Public Works Department,Telangana,Nizamabad,20474663.68,17894323.95,12612053.51,73.88,369,181,0.4905,46,389007.04,792088.28,4.87,6,Pending,332,1,48,1,22,40.93,0.14,1,153455.79,155714.23,133043.69,0.1477,0.874,0.2784,0
Road Construction,Public Works Department,Madhya Pradesh,Jabalpur,8557849.33,3200126.47,2681883.28,76.07,428,286,0.6682,28,114290.23,673360.46,5.58,0,Completed,141,1,78,5,100,9.34,0.01,0,65436.53,72567.83,56856.45,0.2401,0.3739,0.0959,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Chennai,43399964.92,10565146.08,9438563.44,53.06,1052,1208,1.1483,25,422605.84,894581.78,4.24,11,Completed,352,1,77,8,93,9.18,0.01,0,86682.43,92591.0,76594.26,0.1845,0.2434,0.0935,0
Welfare Distribution,Social Welfare Department,Kerala,Thiruvananthapuram,92014761.98,68377582.08,52282910.42,36.97,432,389,0.9005,45,1519501.82,6397388.85,2.82,0,Completed,17,0,8,11,22,6.05,0.02,0,134565.13,127575.16,141065.51,-0.1003,0.7431,0.241,0
School Building,Education Department,Rajasthan,Ajmer,72764591.12,25179598.38,23308141.9,75.47,119,51,0.4286,11,2289054.4,3529238.38,7.92,13,Completed,152,0,1,6,95,15.4,0.19,0,66505.68,72902.84,57312.28,0.2344,0.346,0.1965,0
Drainage System,Municipal Administration,Uttar Pradesh,Agra,73653137.96,62093778.69,44753186.01,91.66,1054,290,0.2751,42,1478423.3,7209838.77,0.53,11,Pending,252,1,54,3,33,35.87,0.05,0,59690.15,63548.24,54205.83,0.1565,0.8431,0.136,0
Electricity Infrastructure,Energy Department,Karnataka,Bengaluru,97511904.75,55512265.98,54998471.76,83.01,517,484,0.9362,49,1132903.39,1801785.46,6.05,9,Completed,241,1,72,10,2,12.59,0.1,0,23090.73,24922.61,22001.07,0.1265,0.5693,0.0538,0
Drainage System,Municipal Administration,Karnataka,Hubballi,10888616.18,9977225.01,7660922.93,99.82,382,423,1.1073,14,712658.93,2848244.28,7.92,13,Completed,37,1,47,6,1,0.98,0.18,0,14546.71,14247.92,12705.42,0.106,0.9163,0.0292,0
Housing Scheme,Housing Department,Gujarat,Surat,71725592.08,35529024.53,32853449.48,75.73,394,401,1.0178,49,725082.13,2704802.74,5.8,8,Completed,115,1,45,6,49,5.97,0.13,0,189284.82,177633.15,179415.94,-0.0094,0.4953,0.0684,0
Bridge Construction,Public Works Department,Madhya Pradesh,Bhopal,12362308.49,9596454.74,8936855.55,63.25,781,765,0.9795,25,383858.19,1517867.7,3.78,13,Completed,286,1,21,7,69,23.51,0.07,0,7664.57,7912.98,6549.72,0.1779,0.7763,0.1424,0
Housing Scheme,Housing Department,Rajasthan,Udaipur,32375875.71,12732494.86,9558701.01,36.45,765,549,0.7176,36,353680.41,1427131.58,1.91,9,Completed,33,1,67,6,49,14.98,0.17,0,117486.57,111810.98,111049.08,0.0065,0.3933,0.0488,0
Electricity Infrastructure,Energy Department,Karnataka,Mysuru,66501692.27,58975126.02,54473394.56,49.88,336,112,0.3333,55,1072275.02,6061653.22,7.61,18,Completed,111,1,50,1,79,37.91,0.12,0,93177.48,97911.75,82941.64,0.1607,0.8868,0.1407,0
Road Construction,Public Works Department,Madhya Pradesh,Bhopal,38242872.08,34186464.45,33455440.25,74.56,771,902,1.1699,6,5697744.08,23925437.89,8.2,18,Completed,129,1,53,8,64,34.54,0.01,0,57511.42,61771.66,50960.65,0.188,0.8939,0.1386,0
Welfare Distribution,Social Welfare Department,Kerala,Kochi,84108832.78,106924937.57,55518067.05,29.6,197,293,1.4873,91,1174999.31,2546768.47,3.16,44,Pending,121,0,2,55,47,108.68,0.5,1,143098.65,267030.25,98342.91,1.1788,1.2713,0.919,1
Housing Scheme,Housing Department,Telangana,Karimnagar,50969987.84,20082635.4,15234937.73,37.92,80,16,0.2,12,1673552.95,6612902.04,7.85,10,Failed,253,1,18,0,68,23.58,0.02,0,88739.68,99161.74,90391.75,0.0988,0.394,0.1162,0
Road Construction,Public Works Department,Gujarat,Bhavnagar,51574120.35,43516925.57,34024187.22,84.59,992,729,0.7349,5,8703385.11,46018694.29,0.53,9,Completed,196,1,31,3,9,20.36,0.16,0,141361.6,152616.82,120080.5,0.2302,0.8438,0.0549,0
Housing Scheme,Housing Department,Maharashtra,Pune,56786678.65,51682017.5,46028830.88,35.91,804,596,0.7413,46,1123522.12,6313349.23,6.64,16,Completed,316,1,18,2,62,3.52,0.03,0,137102.77,137740.09,125093.07,0.0922,0.9101,0.2129,0
Drainage System,Municipal Administration,Telangana,Hyderabad,59778071.09,52167650.85,47579967.04,91.95,836,281,0.3361,4,13041912.71,66533893.51,2.73,14,Completed,25,1,28,9,80,35.42,0.17,0,185263.33,194688.62,182527.43,0.0656,0.8727,0.0471,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Chennai,29346910.83,26838210.44,14267661.26,46.9,62,62,1.0,112,239626.88,830497.04,3.13,88,Completed,360,0,0,73,50,122.24,0.41,0,2328.49,4383.06,1886.59,1.0721,0.9145,0.5637,0
Welfare Distribution,Social Welfare Department,Tamil Nadu,Madurai,88500846.34,33974337.04,28215677.4,78.74,411,150,0.365,42,808912.79,1316498.43,5.83,3,Completed,343,1,17,6,32,20.99,0.19,0,222385.67,239189.9,230398.05,0.0395,0.3839,0.0689,0
Water Pipeline,Water Resources Department,Karnataka,Bengaluru,60092711.35,41642161.49,37578518.51,52.39,702,666,0.9487,49,849840.03,2028101.98,2.83,15,Completed,221,1,15,8,81,42.32,0.2,0,62564.85,59116.59,65562.56,-0.103,0.693,0.088,0
Hospital Development,Health Department,Kerala,Kochi,29444006.18,13647345.62,12588689.98,59.23,535,302,0.5645,3,4549115.21,27237022.4,4.75,6,Completed,311,1,17,3,49,24.1,0.02,0,16929.28,17590.08,14278.54,0.1956,0.4635,0.0232,0
